1	개미	열린책들	2010	y	978893292358	20241111	20241230	true
2	개미	열린책들	2010	n	978893292358	20241111	null	false
3	개미	열린책들	2010	n	978893292358	20241111	null	false
4	해리포터와 마법사의 돌	문학수첩	2019	n	979115467001	20241111	null	false
5	개미	열린책들	2010	n	978893292358	20241111	null	false
6	데미안	민음사	2009	n	978893742123	20241111	null	false
7	개미	열린책들	2010	n	978893292358	20241111	null	false
8	1984	민음사	2012	n	978895467891	20241111	null	false
9	개미	열린책들	2010	n	978893292358	20241111	null	false
10	어린왕자	열린책들	2015	n	978899012345	20241111	null	false
11	개미	열린책들	2010	n	978893292358	20241111	null	false
12	소나기	문학동네	2008	n	978897654321	20241111	null	false
13	개미	열린책들	2010	n	978893292358	20241111	null	false
14	돈키호테	창비	2018	n	978896789012	20241111	null	false
15	죄와벌	민음사	2011	n	978895678901	20241111	null	false
16	어린왕자	열린책들	2015	n	978899012345	20111111	null	false
